epoch,accuracy,loss,val_accuracy,val_loss
0,0.5846428275108337,1.5101735591888428,0.7210714221000671,1.0230910778045654
1,0.7139285802841187,1.0474355220794678,0.7432143092155457,0.9337279200553894
2,0.7360714077949524,0.9648582935333252,0.7453571557998657,0.919157862663269
3,0.7526785731315613,0.8870759010314941,0.7632142901420593,0.8429039716720581
4,0.7538393139839172,0.8767228722572327,0.7635714411735535,0.8559577465057373
5,0.7648214101791382,0.8248584866523743,0.7782142758369446,0.7765594720840454
6,0.7711607217788696,0.8080146312713623,0.7853571176528931,0.772077739238739
7,0.7816071510314941,0.7806498408317566,0.7850000262260437,0.7643372416496277
8,0.7839285731315613,0.7661767601966858,0.7900000214576721,0.7465441823005676
9,0.7879464030265808,0.7489750385284424,0.7753571271896362,0.7660136818885803
10,0.7862499952316284,0.7417244911193848,0.7992857098579407,0.7187314629554749
11,0.7973214387893677,0.7224161028862,0.7925000190734863,0.7204069495201111
12,0.8045535683631897,0.6824527978897095,0.7982142567634583,0.7264682650566101
13,0.8063392639160156,0.6824250817298889,0.795714259147644,0.7211090326309204
