epoch,accuracy,loss,val_accuracy,val_loss
0,0.606249988079071,1.4797377586364746,0.7135714292526245,1.0791860818862915
1,0.7211607098579407,1.035048484802246,0.7339285612106323,0.9635563492774963
2,0.7431250214576721,0.9392178058624268,0.756428599357605,0.893744945526123
3,0.7569642663002014,0.8760594129562378,0.760357141494751,0.8697983026504517
4,0.7725892663002014,0.8164919018745422,0.7732142806053162,0.843360424041748
5,0.7825000286102295,0.775286853313446,0.7649999856948853,0.836936354637146
6,0.7869642972946167,0.7619645595550537,0.7646428346633911,0.8288892507553101
7,0.7961606979370117,0.7233935594558716,0.7596428394317627,0.8243630528450012
8,0.7984821200370789,0.7050748467445374,0.7642857432365417,0.8206214904785156
9,0.8042857050895691,0.6877484917640686,0.7746428847312927,0.8119480013847351
10,0.8094642758369446,0.6711474657058716,0.770714282989502,0.7993043065071106
11,0.8121428489685059,0.6612056493759155,0.7767857313156128,0.7894995212554932
12,0.8083928823471069,0.6556999087333679,0.7732142806053162,0.784876823425293
13,0.8181250095367432,0.629194974899292,0.7674999833106995,0.7881125211715698
14,0.8141964077949524,0.6263373494148254,0.7674999833106995,0.806596040725708
15,0.8233928680419922,0.6172658205032349,0.7825000286102295,0.7717686891555786
16,0.8274999856948853,0.601621150970459,0.7739285826683044,0.8163965940475464
17,0.8286607265472412,0.5936737656593323,0.7807142734527588,0.7773258686065674
18,0.8289285898208618,0.5907825231552124,0.7875000238418579,0.781036913394928
